상호명,주소,업종대분류,업종중분류,업종소분류
수작반상,서울특별시 마포구 서교동 484-25,음식,한식,한식/백반/한정식
마리왕,서울특별시 서초구 서초동 1748-4,음식,분식,라면김밥분식
GS25S천왕역점,서울특별시 구로구 오류동 174-5,소매,종합소매점,편의점
신영희,서울특별시 동작구 상도동 514,소매,의복의류,일반의류
유니멜로,서울특별시 성북구 동선동4가 1,소매,종합소매점,수입품판매점
비아베리,서울특별시 성동구 용답동 99,소매,의복의류,일반의류
EDIYACOFFEE,서울특별시 구로구 구로동 585-3,음식,커피점/카페,커피전문점/카페/다방
네이처리퍼블릭,서울특별시 성북구 동선동4가 1,소매,화장품소매,화장품판매점
세븐일레븐,서울특별시 성동구 마장동 772,소매,종합소매점,편의점
아리따움,서울특별시 동대문구 장안동 416,소매,화장품소매,화장품판매점
THETIME,서울특별시 강동구 명일동 345-12,소매,의복의류,일반의류
GS25,서울특별시 중랑구 면목동 282-6,소매,종합소매점,편의점
김말자,서울특별시 성북구 동선동4가 1,음식,분식,라면김밥분식
세븐일레븐,서울특별시 강서구 화곡동 1089-3,소매,종합소매점,편의점
핫바김밥우동,서울특별시 금천구 시흥동 113-77,음식,분식,우동전문점
바이감동,서울특별시 강남구 도곡동 545-2,생활서비스,이/미용/건강,여성미용실
브레드앳홈,서울특별시 성동구 응봉동 191-24,음식,커피점/카페,커피전문점/카페/다방
앵두,서울특별시 은평구 수색동 366-1,음식,유흥주점,호프/맥주
GS25상봉중화점,서울특별시 중랑구 중화동 133,소매,종합소매점,편의점
신참떡볶이,서울특별시 마포구 상암동 1597,음식,분식,떡볶이전문
막퍼주는집,서울특별시 은평구 불광동 359-4,음식,한식,한식/백반/한정식
화련양꼬치,서울특별시 영등포구 대림동 713-2,음식,유흥주점,꼬치구이전문점
테이스티그린,서울특별시 용산구 청파동3가 114-3,음식,한식,한식/백반/한정식
돼지연구소,서울특별시 서초구 잠원동 27-9,음식,한식,갈비/삼겹살
주앤미,서울특별시 성북구 돈암동 15-1,생활서비스,이/미용/건강,비만/피부관리
대박호프,서울특별시 구로구 가리봉동 122-15,음식,유흥주점,호프/맥주
블랑,서울특별시 송파구 방이동 223-6,생활서비스,이/미용/건강,비만/피부관리
